race,ethnicity,age_group,zip,city,total_patients,patients_screened,screening_rate,avg_risk_score,high_risk_count,moderate_risk_count,low_risk_count,high_risk_pct,total_referrals,completed_referrals,avg_completion_rate,housing_insecure_count,food_insecure_count,transport_barriers_count,unemployed_count,high_risk_no_services
white,nonhispanic,Adult,21209,Baltimore,5,5,100.0,1.00000000000000000000,0,0,5,0.0,0,0,,0,1,0,0,0
black,nonhispanic,Pediatric,21223,Baltimore,5,5,100.0,5.4000000000000000,2,2,1,40.0,13,8,66.7,4,4,2,2,0
black,nonhispanic,Pediatric,21211,Baltimore,5,5,100.0,3.2000000000000000,0,3,2,0.0,7,4,66.7,1,2,2,2,0
white,nonhispanic,Adult,21225,Baltimore,5,5,100.0,3.2000000000000000,0,2,3,0.0,8,5,58.3,2,2,0,2,0
black,nonhispanic,Pediatric,21236,Baltimore,5,5,100.0,2.0000000000000000,0,0,5,0.0,0,0,,0,3,1,0,0
black,nonhispanic,Senior (65+),21228,Baltimore,5,5,100.0,4.0000000000000000,1,2,2,20.0,6,5,88.9,2,1,1,2,0
white,nonhispanic,Adult,21210,Baltimore,5,5,100.0,1.2000000000000000,0,0,5,0.0,0,0,,0,0,0,0,0
black,nonhispanic,Senior (65+),21230,Baltimore,5,5,100.0,2.6000000000000000,0,1,4,0.0,1,1,100.0,0,3,0,1,0
white,nonhispanic,Pediatric,21230,Baltimore,5,5,100.0,2.0000000000000000,0,0,5,0.0,2,2,100.0,0,2,2,1,0
white,nonhispanic,Adult,21216,Baltimore,5,5,100.0,3.4000000000000000,0,3,2,0.0,8,6,72.2,3,2,2,0,0
