service_type,service_category,month,total_referrals,unique_patients,completed_referrals,pending_referrals,declined_referrals,completion_rate,avg_days_to_completion,min_days_to_completion,max_days_to_completion,follow_ups_scheduled,follow_up_rate,performance_status,timeline_status
Food Assistance,Basic Needs,2026-02-01,8,7,5,2,0,62.5,59.8,11,89,5,100.0,Meets Target,Standard
Employment Services,Economic Stability,2026-02-01,6,6,5,0,0,83.3,39.4,23,66,3,60.0,Exceeds Target,Standard
Transportation Vouchers,Transportation,2026-02-01,4,4,4,0,0,100.0,73.3,42,88,3,75.0,Exceeds Target,Needs Improvement
Mental Health Support,Health & Wellness,2026-02-01,1,1,1,0,0,100.0,71.0,71,71,1,100.0,Exceeds Target,Needs Improvement
Utility Assistance,Basic Needs,2026-02-01,1,1,1,0,0,100.0,43.0,43,43,0,0.0,Exceeds Target,Standard
Care Coordination,Care Management,2026-02-01,1,1,1,0,0,100.0,87.0,87,87,1,100.0,Exceeds Target,Needs Improvement
Food Assistance,Basic Needs,2026-01-01,15,15,10,1,0,66.7,32.9,7,83,7,70.0,Meets Target,Standard
Mental Health Support,Health & Wellness,2026-01-01,12,12,8,2,1,66.7,60.4,31,85,6,75.0,Meets Target,Needs Improvement
Housing Support,Basic Needs,2026-01-01,9,9,5,4,0,55.6,37.6,12,53,4,80.0,Below Target,Standard
Legal Aid,Safety & Legal,2026-01-01,9,9,6,3,0,66.7,54.8,35,90,5,83.3,Meets Target,Standard
Financial Counseling,Economic Stability,2026-01-01,9,9,8,1,0,88.9,44.0,13,79,5,62.5,Exceeds Target,Standard
Transportation Vouchers,Transportation,2026-01-01,3,3,1,1,0,33.3,15.0,15,15,1,100.0,Below Target,Fast
Employment Services,Economic Stability,2026-01-01,3,3,2,0,0,66.7,26.5,10,43,1,50.0,Meets Target,Fast
Utility Assistance,Basic Needs,2026-01-01,1,1,1,0,0,100.0,42.0,42,42,1,100.0,Exceeds Target,Standard
Housing Support,Basic Needs,2025-12-01,19,19,15,3,1,78.9,51.5,15,87,9,60.0,Meets Target,Standard
Food Assistance,Basic Needs,2025-12-01,13,13,9,2,1,69.2,54.1,12,79,6,66.7,Meets Target,Standard
Financial Counseling,Economic Stability,2025-12-01,11,11,9,0,1,81.8,48.9,17,77,8,88.9,Exceeds Target,Standard
Legal Aid,Safety & Legal,2025-12-01,11,11,9,2,0,81.8,56.2,20,90,8,88.9,Exceeds Target,Standard
Employment Services,Economic Stability,2025-12-01,7,7,4,1,1,57.1,53.0,16,83,4,100.0,Below Target,Standard
Mental Health Support,Health & Wellness,2025-12-01,7,7,5,2,0,71.4,77.6,56,87,4,80.0,Meets Target,Needs Improvement
Utility Assistance,Basic Needs,2025-12-01,4,4,3,0,1,75.0,59.3,40,71,3,100.0,Meets Target,Standard
Transportation Vouchers,Transportation,2025-12-01,3,3,1,1,1,33.3,83.0,83,83,1,100.0,Below Target,Needs Improvement
Housing Support,Basic Needs,2025-11-01,13,13,9,2,1,69.2,56.3,33,90,4,44.4,Meets Target,Standard
Food Assistance,Basic Needs,2025-11-01,9,9,3,5,1,33.3,54.0,31,81,3,100.0,Below Target,Standard
Legal Aid,Safety & Legal,2025-11-01,8,8,8,0,0,100.0,56.6,19,86,5,62.5,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2025-11-01,7,7,4,2,0,57.1,40.5,32,53,2,50.0,Below Target,Standard
Financial Counseling,Economic Stability,2025-11-01,7,7,3,4,0,42.9,34.7,13,72,2,66.7,Below Target,Standard
Employment Services,Economic Stability,2025-11-01,5,5,3,1,0,60.0,40.3,17,66,1,33.3,Meets Target,Standard
Transportation Vouchers,Transportation,2025-11-01,5,5,4,0,0,80.0,41.3,8,75,3,75.0,Exceeds Target,Standard
Utility Assistance,Basic Needs,2025-11-01,3,3,2,0,1,66.7,52.0,20,84,2,100.0,Meets Target,Standard
Care Coordination,Care Management,2025-11-01,1,1,0,1,0,0.0,,,,0,,Below Target,Needs Improvement
Food Assistance,Basic Needs,2025-10-01,18,18,11,4,2,61.1,56.2,9,88,9,81.8,Meets Target,Standard
Housing Support,Basic Needs,2025-10-01,16,15,11,1,1,68.8,44.6,13,89,7,63.6,Meets Target,Standard
Legal Aid,Safety & Legal,2025-10-01,13,13,11,2,0,84.6,48.4,14,87,8,72.7,Exceeds Target,Standard
Financial Counseling,Economic Stability,2025-10-01,10,10,8,1,1,80.0,46.1,10,83,6,75.0,Exceeds Target,Standard
Transportation Vouchers,Transportation,2025-10-01,9,9,7,2,0,77.8,62.3,9,87,4,57.1,Meets Target,Needs Improvement
Employment Services,Economic Stability,2025-10-01,8,8,7,1,0,87.5,42.7,16,87,6,85.7,Exceeds Target,Standard
Utility Assistance,Basic Needs,2025-10-01,4,4,2,2,0,50.0,52.0,17,87,2,100.0,Below Target,Standard
Mental Health Support,Health & Wellness,2025-10-01,4,4,3,1,0,75.0,40.7,7,76,2,66.7,Meets Target,Standard
Care Coordination,Care Management,2025-10-01,1,1,0,0,0,0.0,,,,0,,Below Target,Needs Improvement
Housing Support,Basic Needs,2025-09-01,15,15,10,2,1,66.7,35.2,12,84,4,40.0,Meets Target,Standard
Financial Counseling,Economic Stability,2025-09-01,11,11,8,2,1,72.7,61.3,37,86,8,100.0,Meets Target,Needs Improvement
Employment Services,Economic Stability,2025-09-01,10,10,7,3,0,70.0,43.0,14,74,5,71.4,Meets Target,Standard
Legal Aid,Safety & Legal,2025-09-01,9,9,4,2,1,44.4,63.0,43,83,3,75.0,Below Target,Needs Improvement
Food Assistance,Basic Needs,2025-09-01,9,9,5,2,1,55.6,50.6,13,86,3,60.0,Below Target,Standard
Mental Health Support,Health & Wellness,2025-09-01,6,6,4,0,2,66.7,58.3,31,85,3,75.0,Meets Target,Standard
Utility Assistance,Basic Needs,2025-09-01,3,3,3,0,0,100.0,39.7,19,63,3,100.0,Exceeds Target,Standard
Transportation Vouchers,Transportation,2025-09-01,2,2,0,1,1,0.0,,,,0,,Below Target,Needs Improvement
Financial Counseling,Economic Stability,2025-08-01,16,16,10,5,0,62.5,40.2,8,74,6,60.0,Meets Target,Standard
Employment Services,Economic Stability,2025-08-01,12,12,6,4,1,50.0,56.3,9,87,5,83.3,Below Target,Standard
Mental Health Support,Health & Wellness,2025-08-01,11,11,6,2,1,54.5,43.5,12,72,5,83.3,Below Target,Standard
Housing Support,Basic Needs,2025-08-01,10,10,8,1,1,80.0,62.6,17,88,7,87.5,Exceeds Target,Needs Improvement
Legal Aid,Safety & Legal,2025-08-01,8,8,8,0,0,100.0,54.0,10,89,5,62.5,Exceeds Target,Standard
Food Assistance,Basic Needs,2025-08-01,8,8,6,1,0,75.0,56.3,30,64,3,50.0,Meets Target,Standard
Utility Assistance,Basic Needs,2025-08-01,7,7,4,2,0,57.1,44.5,10,71,3,75.0,Below Target,Standard
Transportation Vouchers,Transportation,2025-08-01,6,6,4,1,0,66.7,61.3,38,89,2,50.0,Meets Target,Needs Improvement
Care Coordination,Care Management,2025-08-01,2,2,1,0,1,50.0,69.0,69,69,0,0.0,Below Target,Needs Improvement
Food Assistance,Basic Needs,2025-07-01,18,16,12,3,2,66.7,53.3,25,82,10,83.3,Meets Target,Standard
Housing Support,Basic Needs,2025-07-01,16,16,14,2,0,87.5,49.5,9,83,11,78.6,Exceeds Target,Standard
Legal Aid,Safety & Legal,2025-07-01,11,11,4,4,1,36.4,61.0,34,81,3,75.0,Below Target,Needs Improvement
Financial Counseling,Economic Stability,2025-07-01,11,10,9,1,1,81.8,39.6,22,65,5,55.6,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2025-07-01,8,8,6,2,0,75.0,38.8,19,70,5,83.3,Meets Target,Standard
Transportation Vouchers,Transportation,2025-07-01,5,5,3,2,0,60.0,33.3,30,38,3,100.0,Meets Target,Standard
Employment Services,Economic Stability,2025-07-01,4,4,3,0,0,75.0,41.3,15,61,2,66.7,Meets Target,Standard
Utility Assistance,Basic Needs,2025-07-01,4,4,4,0,0,100.0,44.0,12,88,2,50.0,Exceeds Target,Standard
Care Coordination,Care Management,2025-07-01,3,3,0,2,0,0.0,,,,0,,Below Target,Needs Improvement
Housing Support,Basic Needs,2025-06-01,15,14,10,4,1,66.7,51.8,16,81,7,70.0,Meets Target,Standard
Financial Counseling,Economic Stability,2025-06-01,13,13,7,2,1,53.8,62.6,25,75,2,28.6,Below Target,Needs Improvement
Legal Aid,Safety & Legal,2025-06-01,11,10,8,1,0,72.7,47.6,23,84,5,62.5,Meets Target,Standard
Mental Health Support,Health & Wellness,2025-06-01,11,11,7,4,0,63.6,47.6,9,84,4,57.1,Meets Target,Standard
Food Assistance,Basic Needs,2025-06-01,11,10,8,3,0,72.7,45.1,9,79,8,100.0,Meets Target,Standard
Transportation Vouchers,Transportation,2025-06-01,6,6,4,1,0,66.7,32.5,13,69,1,25.0,Meets Target,Standard
Employment Services,Economic Stability,2025-06-01,5,5,3,1,1,60.0,38.7,15,74,2,66.7,Meets Target,Standard
Utility Assistance,Basic Needs,2025-06-01,4,4,2,1,0,50.0,49.0,21,77,1,50.0,Below Target,Standard
Care Coordination,Care Management,2025-06-01,1,1,0,0,0,0.0,,,,0,,Below Target,Needs Improvement
Housing Support,Basic Needs,2025-05-01,19,19,13,3,2,68.4,48.7,8,86,6,46.2,Meets Target,Standard
Food Assistance,Basic Needs,2025-05-01,13,13,8,4,1,61.5,52.1,9,86,4,50.0,Meets Target,Standard
Financial Counseling,Economic Stability,2025-05-01,11,11,8,1,1,72.7,56.9,27,87,4,50.0,Meets Target,Standard
Legal Aid,Safety & Legal,2025-05-01,10,10,6,3,0,60.0,53.0,26,87,4,66.7,Meets Target,Standard
Employment Services,Economic Stability,2025-05-01,5,5,4,1,0,80.0,46.3,11,73,2,50.0,Exceeds Target,Standard
Transportation Vouchers,Transportation,2025-05-01,5,5,4,1,0,80.0,28.5,11,58,3,75.0,Exceeds Target,Fast
Utility Assistance,Basic Needs,2025-05-01,3,3,2,1,0,66.7,56.5,51,62,1,50.0,Meets Target,Standard
Care Coordination,Care Management,2025-05-01,3,3,0,2,1,0.0,,,,0,,Below Target,Needs Improvement
Mental Health Support,Health & Wellness,2025-05-01,3,3,1,0,1,33.3,86.0,86,86,1,100.0,Below Target,Needs Improvement
Food Assistance,Basic Needs,2025-04-01,8,8,4,3,1,50.0,46.0,23,75,3,75.0,Below Target,Standard
Financial Counseling,Economic Stability,2025-04-01,7,7,5,1,0,71.4,56.4,20,78,2,40.0,Meets Target,Standard
Legal Aid,Safety & Legal,2025-04-01,7,7,2,3,1,28.6,63.5,60,67,1,50.0,Below Target,Needs Improvement
Housing Support,Basic Needs,2025-04-01,7,7,3,4,0,42.9,40.0,35,43,3,100.0,Below Target,Standard
Mental Health Support,Health & Wellness,2025-04-01,6,6,2,3,0,33.3,53.5,32,75,1,50.0,Below Target,Standard
Transportation Vouchers,Transportation,2025-04-01,4,4,1,2,0,25.0,46.0,46,46,0,0.0,Below Target,Standard
Employment Services,Economic Stability,2025-04-01,4,4,2,1,0,50.0,25.0,11,39,1,50.0,Below Target,Fast
Utility Assistance,Basic Needs,2025-04-01,2,2,1,1,0,50.0,45.0,45,45,1,100.0,Below Target,Standard
Housing Support,Basic Needs,2025-03-01,17,17,13,2,0,76.5,49.0,10,87,10,76.9,Meets Target,Standard
Food Assistance,Basic Needs,2025-03-01,12,12,9,1,0,75.0,47.1,16,88,8,88.9,Meets Target,Standard
Legal Aid,Safety & Legal,2025-03-01,10,10,5,2,0,50.0,56.8,27,84,3,60.0,Below Target,Standard
Financial Counseling,Economic Stability,2025-03-01,7,7,6,1,0,85.7,69.0,30,84,5,83.3,Exceeds Target,Needs Improvement
Employment Services,Economic Stability,2025-03-01,6,6,4,1,0,66.7,67.0,31,86,1,25.0,Meets Target,Needs Improvement
Transportation Vouchers,Transportation,2025-03-01,6,6,5,1,0,83.3,48.4,14,76,4,80.0,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2025-03-01,6,6,4,0,0,66.7,55.5,32,77,3,75.0,Meets Target,Standard
Utility Assistance,Basic Needs,2025-03-01,2,2,2,0,0,100.0,52.0,35,69,2,100.0,Exceeds Target,Standard
Care Coordination,Care Management,2025-03-01,1,1,1,0,0,100.0,75.0,75,75,1,100.0,Exceeds Target,Needs Improvement
Food Assistance,Basic Needs,2025-02-01,9,9,4,3,0,44.4,41.3,9,81,4,100.0,Below Target,Standard
Housing Support,Basic Needs,2025-02-01,7,7,7,0,0,100.0,32.1,11,81,6,85.7,Exceeds Target,Standard
Financial Counseling,Economic Stability,2025-02-01,6,5,5,0,1,83.3,35.4,13,66,4,80.0,Exceeds Target,Standard
Employment Services,Economic Stability,2025-02-01,5,5,5,0,0,100.0,41.0,16,61,4,80.0,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2025-02-01,5,5,3,0,0,60.0,56.0,19,79,1,33.3,Meets Target,Standard
Utility Assistance,Basic Needs,2025-02-01,4,4,1,3,0,25.0,71.0,71,71,0,0.0,Below Target,Needs Improvement
Legal Aid,Safety & Legal,2025-02-01,3,3,3,0,0,100.0,35.3,18,50,2,66.7,Exceeds Target,Standard
Transportation Vouchers,Transportation,2025-02-01,1,1,0,1,0,0.0,,,,0,,Below Target,Needs Improvement
Housing Support,Basic Needs,2025-01-01,14,14,11,2,1,78.6,50.6,30,83,7,63.6,Meets Target,Standard
Food Assistance,Basic Needs,2025-01-01,13,13,7,2,2,53.8,42.3,13,74,5,71.4,Below Target,Standard
Financial Counseling,Economic Stability,2025-01-01,13,13,10,2,1,76.9,52.7,11,85,7,70.0,Meets Target,Standard
Legal Aid,Safety & Legal,2025-01-01,11,11,11,0,0,100.0,51.6,8,85,9,81.8,Exceeds Target,Standard
Employment Services,Economic Stability,2025-01-01,8,8,7,0,0,87.5,47.1,10,88,3,42.9,Exceeds Target,Standard
Transportation Vouchers,Transportation,2025-01-01,4,4,2,0,2,50.0,44.0,16,72,2,100.0,Below Target,Standard
Mental Health Support,Health & Wellness,2025-01-01,4,4,4,0,0,100.0,37.5,17,80,4,100.0,Exceeds Target,Standard
Care Coordination,Care Management,2025-01-01,2,2,1,0,0,50.0,49.0,49,49,1,100.0,Below Target,Standard
Utility Assistance,Basic Needs,2025-01-01,1,1,1,0,0,100.0,76.0,76,76,1,100.0,Exceeds Target,Needs Improvement
Legal Aid,Safety & Legal,2024-12-01,13,13,12,0,1,92.3,41.8,13,87,7,58.3,Exceeds Target,Standard
Housing Support,Basic Needs,2024-12-01,12,12,8,1,1,66.7,44.6,10,89,6,75.0,Meets Target,Standard
Food Assistance,Basic Needs,2024-12-01,10,10,5,3,0,50.0,43.6,24,57,3,60.0,Below Target,Standard
Employment Services,Economic Stability,2024-12-01,7,7,6,1,0,85.7,44.2,15,84,4,66.7,Exceeds Target,Standard
Financial Counseling,Economic Stability,2024-12-01,4,4,3,1,0,75.0,46.0,22,62,3,100.0,Meets Target,Standard
Transportation Vouchers,Transportation,2024-12-01,3,3,2,1,0,66.7,40.0,11,69,1,50.0,Meets Target,Standard
Mental Health Support,Health & Wellness,2024-12-01,3,3,3,0,0,100.0,51.3,21,89,3,100.0,Exceeds Target,Standard
Care Coordination,Care Management,2024-12-01,1,1,1,0,0,100.0,86.0,86,86,1,100.0,Exceeds Target,Needs Improvement
Utility Assistance,Basic Needs,2024-12-01,1,1,1,0,0,100.0,13.0,13,13,0,0.0,Exceeds Target,Fast
Housing Support,Basic Needs,2024-11-01,13,13,8,4,0,61.5,41.9,11,77,3,37.5,Meets Target,Standard
Food Assistance,Basic Needs,2024-11-01,10,10,5,3,0,50.0,45.0,10,83,4,80.0,Below Target,Standard
Financial Counseling,Economic Stability,2024-11-01,8,8,3,1,1,37.5,44.7,19,75,2,66.7,Below Target,Standard
Legal Aid,Safety & Legal,2024-11-01,7,7,7,0,0,100.0,47.9,24,74,6,85.7,Exceeds Target,Standard
Employment Services,Economic Stability,2024-11-01,6,6,4,0,0,66.7,36.5,12,63,3,75.0,Meets Target,Standard
Transportation Vouchers,Transportation,2024-11-01,5,5,4,0,1,80.0,60.3,42,85,2,50.0,Exceeds Target,Needs Improvement
Utility Assistance,Basic Needs,2024-11-01,4,4,3,1,0,75.0,57.3,36,86,3,100.0,Meets Target,Standard
Care Coordination,Care Management,2024-11-01,4,4,2,2,0,50.0,61.5,52,71,1,50.0,Below Target,Needs Improvement
Mental Health Support,Health & Wellness,2024-11-01,1,1,1,0,0,100.0,43.0,43,43,1,100.0,Exceeds Target,Standard
Housing Support,Basic Needs,2024-10-01,10,10,8,2,0,80.0,55.8,32,86,4,50.0,Exceeds Target,Standard
Legal Aid,Safety & Legal,2024-10-01,8,8,7,0,1,87.5,44.4,11,73,5,71.4,Exceeds Target,Standard
Transportation Vouchers,Transportation,2024-10-01,7,7,5,1,0,71.4,58.8,24,77,5,100.0,Meets Target,Standard
Financial Counseling,Economic Stability,2024-10-01,7,7,4,0,1,57.1,62.3,39,74,2,50.0,Below Target,Needs Improvement
Mental Health Support,Health & Wellness,2024-10-01,6,6,5,0,0,83.3,48.0,11,78,4,80.0,Exceeds Target,Standard
Utility Assistance,Basic Needs,2024-10-01,3,3,3,0,0,100.0,59.7,31,76,1,33.3,Exceeds Target,Standard
Employment Services,Economic Stability,2024-10-01,2,2,1,0,1,50.0,23.0,23,23,0,0.0,Below Target,Fast
Food Assistance,Basic Needs,2024-10-01,2,2,2,0,0,100.0,44.0,14,74,2,100.0,Exceeds Target,Standard
Care Coordination,Care Management,2024-10-01,1,1,0,1,0,0.0,,,,0,,Below Target,Needs Improvement
Housing Support,Basic Needs,2024-09-01,12,12,9,3,0,75.0,41.6,14,90,7,77.8,Meets Target,Standard
Food Assistance,Basic Needs,2024-09-01,9,9,8,1,0,88.9,39.5,9,89,6,75.0,Exceeds Target,Standard
Financial Counseling,Economic Stability,2024-09-01,8,8,5,2,0,62.5,54.8,19,83,3,60.0,Meets Target,Standard
Mental Health Support,Health & Wellness,2024-09-01,8,8,7,0,0,87.5,63.6,46,82,5,71.4,Exceeds Target,Needs Improvement
Employment Services,Economic Stability,2024-09-01,7,7,6,0,1,85.7,52.2,10,88,5,83.3,Exceeds Target,Standard
Legal Aid,Safety & Legal,2024-09-01,4,4,3,1,0,75.0,59.0,20,88,3,100.0,Meets Target,Standard
Transportation Vouchers,Transportation,2024-09-01,2,2,1,1,0,50.0,70.0,70,70,1,100.0,Below Target,Needs Improvement
Care Coordination,Care Management,2024-09-01,2,2,0,2,0,0.0,,,,0,,Below Target,Needs Improvement
Utility Assistance,Basic Needs,2024-09-01,2,2,1,0,1,50.0,9.0,9,9,0,0.0,Below Target,Fast
Financial Counseling,Economic Stability,2024-08-01,13,13,11,2,0,84.6,46.2,8,89,9,81.8,Exceeds Target,Standard
Housing Support,Basic Needs,2024-08-01,13,13,9,2,1,69.2,51.1,8,79,5,55.6,Meets Target,Standard
Food Assistance,Basic Needs,2024-08-01,11,11,8,2,1,72.7,61.3,41,80,7,87.5,Meets Target,Needs Improvement
Mental Health Support,Health & Wellness,2024-08-01,10,10,6,0,1,60.0,63.0,17,87,5,83.3,Meets Target,Needs Improvement
Employment Services,Economic Stability,2024-08-01,8,8,6,1,0,75.0,57.0,16,82,3,50.0,Meets Target,Standard
Legal Aid,Safety & Legal,2024-08-01,8,8,5,2,0,62.5,53.8,32,88,4,80.0,Meets Target,Standard
Transportation Vouchers,Transportation,2024-08-01,4,4,2,1,0,50.0,65.5,46,85,2,100.0,Below Target,Needs Improvement
Utility Assistance,Basic Needs,2024-08-01,3,3,2,1,0,66.7,69.5,65,74,1,50.0,Meets Target,Needs Improvement
Care Coordination,Care Management,2024-08-01,2,2,1,0,0,50.0,50.0,50,50,1,100.0,Below Target,Standard
Legal Aid,Safety & Legal,2024-07-01,11,11,7,3,0,63.6,55.6,18,81,4,57.1,Meets Target,Standard
Housing Support,Basic Needs,2024-07-01,10,10,8,1,0,80.0,46.3,12,65,6,75.0,Exceeds Target,Standard
Food Assistance,Basic Needs,2024-07-01,9,9,7,0,1,77.8,54.4,17,82,5,71.4,Meets Target,Standard
Financial Counseling,Economic Stability,2024-07-01,8,8,6,1,0,75.0,50.7,24,75,5,83.3,Meets Target,Standard
Utility Assistance,Basic Needs,2024-07-01,5,5,4,0,0,80.0,59.3,22,83,3,75.0,Exceeds Target,Standard
Transportation Vouchers,Transportation,2024-07-01,5,5,4,1,0,80.0,50.5,17,83,2,50.0,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2024-07-01,5,5,2,2,0,40.0,22.0,17,27,1,50.0,Below Target,Fast
Employment Services,Economic Stability,2024-07-01,2,2,1,0,0,50.0,83.0,83,83,1,100.0,Below Target,Needs Improvement
Housing Support,Basic Needs,2024-06-01,11,11,8,2,1,72.7,41.3,18,79,7,87.5,Meets Target,Standard
Food Assistance,Basic Needs,2024-06-01,10,10,7,2,1,70.0,33.9,11,87,6,85.7,Meets Target,Standard
Employment Services,Economic Stability,2024-06-01,10,10,7,1,1,70.0,42.4,8,80,4,57.1,Meets Target,Standard
Financial Counseling,Economic Stability,2024-06-01,8,8,7,1,0,87.5,62.1,8,89,5,71.4,Exceeds Target,Needs Improvement
Legal Aid,Safety & Legal,2024-06-01,5,5,4,1,0,80.0,59.5,44,71,2,50.0,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2024-06-01,5,5,3,1,0,60.0,66.7,51,76,2,66.7,Meets Target,Needs Improvement
Utility Assistance,Basic Needs,2024-06-01,4,4,3,1,0,75.0,24.3,21,28,2,66.7,Meets Target,Fast
Care Coordination,Care Management,2024-06-01,3,3,2,1,0,66.7,40.0,37,43,2,100.0,Meets Target,Standard
Transportation Vouchers,Transportation,2024-06-01,1,1,1,0,0,100.0,60.0,60,60,1,100.0,Exceeds Target,Standard
Housing Support,Basic Needs,2024-05-01,9,9,8,0,0,88.9,50.9,22,90,7,87.5,Exceeds Target,Standard
Food Assistance,Basic Needs,2024-05-01,8,8,5,2,0,62.5,63.2,45,89,4,80.0,Meets Target,Needs Improvement
Financial Counseling,Economic Stability,2024-05-01,7,7,7,0,0,100.0,35.6,10,82,4,57.1,Exceeds Target,Standard
Legal Aid,Safety & Legal,2024-05-01,7,7,6,0,0,85.7,55.7,18,81,4,66.7,Exceeds Target,Standard
Mental Health Support,Health & Wellness,2024-05-01,5,5,3,1,0,60.0,62.3,46,90,2,66.7,Meets Target,Needs Improvement
Transportation Vouchers,Transportation,2024-05-01,5,5,3,0,0,60.0,33.3,29,37,2,66.7,Meets Target,Standard
Utility Assistance,Basic Needs,2024-05-01,3,3,3,0,0,100.0,39.7,26,58,1,33.3,Exceeds Target,Standard
Care Coordination,Care Management,2024-05-01,2,2,1,1,0,50.0,70.0,70,70,0,0.0,Below Target,Needs Improvement
Employment Services,Economic Stability,2024-05-01,1,1,1,0,0,100.0,86.0,86,86,1,100.0,Exceeds Target,Needs Improvement
Legal Aid,Safety & Legal,2024-04-01,3,3,2,0,1,66.7,61.0,42,80,0,0.0,Meets Target,Needs Improvement
Financial Counseling,Economic Stability,2024-04-01,2,2,2,0,0,100.0,65.0,62,68,1,50.0,Exceeds Target,Needs Improvement
Housing Support,Basic Needs,2024-04-01,1,1,0,1,0,0.0,,,,0,,Below Target,Needs Improvement
